영화인 코드,영화인명,분야,필모리스트
10038689,존 왓츠(Jon Watts),감독,"스파이더맨: 파 프롬 홈, 스파이더맨: 홈 커밍, 캅카"
10000296,가이 리치(Guy Ritchie),감독,"알라딘, 킹 아서: 제왕의 검, 맨 프롬 UNCLE, 셜록홈즈 : 그림자 게임, 셜록 홈즈, 락큰롤라, 리볼버, 스웹트 어웨이, 스내치, 록 스탁 앤 2 스모킹 배럴즈"
10023314,조시 쿨리(Josh Cooley),감독,토이 스토리 4
20209287,남대중(NAM Dae-joong),감독,"기방도령, 위대한 소원"
10031641,봉준호(BONG Joon-ho),감독,"기생충, 옥자, 해무(海霧), 설국열차, 토니 레인즈의 한국영화 25년, 마더, 감독들, 김기영을 말하다, 괴물, 남극일기, 살인의 추억, 이공, 피도 눈물도 없이, 플란다스의 개, 유령, 모텔 선인장, 인플루엔자, 싱크 & 라이즈, 백색인, 지리멸렬, 프레임 속의 기억들, 인디포럼2014 필름1, 도쿄!"
10090941,히라야마 미호(Miho Hirayama),감독,극장판 엉덩이 탐정: 화려한 사건 수첩
10018162,게리 도버먼(Gary Dauberman),감독,애나벨 집으로
10021926,아리 애스터(Ari Aster),감독,"미드소마, 유전"
20135271,강윤성(KANG Yun-sung),감독,"롱 리브 더 킹: 목포 영웅, 범죄도시, 영어완전정복"
10066410,로버트 페르난데스(Robert Fernandez),감독,천로역정: 천국을 찾아서
10057331,이정호(LEE Jeong-ho),감독,"비스트, 방황하는 칼날, 베스트셀러, 용서는 없다, 슈퍼맨이었던 사나이, 좋지 아니한가, 흡혈형사 나도열, 령, 청풍명월(淸風明月), 마고, 물위의 하룻밤"
10009058,닐 조단(Neil Jordan),감독,"마담 싸이코, 온딘, 브레이브 원, 플루토에서 아침을, 더블 다운, 사랑의 슬픔 애수, 인드림스, 푸줏간 소년 , 마이클 콜린스 , 뱀파이어와의 인터뷰 , 크라잉 게임, 두번째 이별, 모나리자"
